==6243== Memcheck, a memory error detector
==6243== Copyright (C) 2002-2017, and GNU GPL'd, by Julian Seward et al.
==6243== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==6243== Command: ./bank input-1.txt
==6243== 
Read command called by 138733312
Account #9980216556183046 balance: 2243715.940000
Account #3491588839892013 balance: 4038064.980000
Account #6847226299857821 balance: 311804.270000
Account #4659001911688512 balance: 558622.770000
Account #9980216556183046 balance: 2243818.110000
Account #0793710490620664 balance: 4659739.670000
Account #6847226299857821 balance: 313472.520000
Account #2076962079974167 balance: 4229142.050000
Account #8255171551994747 balance: 3292901.520000
Account #6847226299857821 balance: 309515.820000
Account #2076962079974167 balance: 4231773.480000
Account #0793710490620664 balance: 4658291.600000
Account #2076962079974167 balance: 4230379.160000
Account #8255171551994747 balance: 3288796.390000
Account #0793710490620664 balance: 4659866.460000
Account #4659001911688512 balance: 561383.220000
Account #9980216556183046 balance: 2238849.820000
Account #4659001911688512 balance: 561821.360000
Read command called by 147126016
Account #1093278990669429 balance: 1054704.351080
Account #3491588839892013 balance: 4035716.078100
Account #8255171551994747 balance: 3286363.091850
Account #7966380955913694 balance: 3033070.997940
Account #8255171551994747 balance: 3286268.491850
Account #8028716243309826 balance: 1538549.016300
Account #7966380955913694 balance: 3028040.507940
Account #0793710490620664 balance: 4662889.032280
Account #3491588839892013 balance: 4030378.498100
Account #2076962079974167 balance: 4224276.923600
Account #2076962079974167 balance: 4224276.923600
Account #7966380955913694 balance: 3026239.887940
Account #3491588839892013 balance: 4029796.778100
Account #4659001911688512 balance: 563545.814740
Account #2076962079974167 balance: 4222964.133600
Account #8255171551994747 balance: 3285502.541850
Read command called by 214267648
Account #8255171551994747 balance: 3285502.541850
Account #8255171551994747 balance: 3291228.811850
Account #3491588839892013 balance: 4029733.768100
Account #0793710490620664 balance: 4660252.362280
Account #0793710490620664 balance: 4661127.062280
Account #8028716243309826 balance: 1535979.836300
Account #1093278990669429 balance: 1050006.671080
Account #9980216556183046 balance: 2237903.744380
Account #6847226299857821 balance: 327691.146080
Account #1093278990669429 balance: 1047728.351080
Account #3491588839892013 balance: 4025357.728100
Account #0793710490620664 balance: 4663505.612280
Account #2076962079974167 balance: 4224460.693600
Account #3491588839892013 balance: 4026948.928100
Account #1093278990669429 balance: 1048095.751080
Account #4659001911688512 balance: 560865.894740
Account #8255171551994747 balance: 3288623.961850
Account #2076962079974167 balance: 4227259.983600
Account #1093278990669429 balance: 1047443.031080
Account #7966380955913694 balance: 3025557.157940
Account #1093278990669429 balance: 1048487.901080
Account #3491588839892013 balance: 4026552.598100
Account #0793710490620664 balance: 4657868.362280
Account #2076962079974167 balance: 4231954.843600
Account #8028716243309826 balance: 1535993.286300
Account #7966380955913694 balance: 3022857.097940
Account #2076962079974167 balance: 4226816.273600
Account #6847226299857821 balance: 333637.546080
Account #7966380955913694 balance: 3016157.827940
Account #8255171551994747 balance: 3289828.361850
Account #8028716243309826 balance: 1539844.946300
Account #2076962079974167 balance: 4223826.123600
Account #0793710490620664 balance: 4658517.942280
Read command called by 205874944
Account #1093278990669429 balance: 1049789.651080
Account #8028716243309826 balance: 1538293.406300
Account #7966380955913694 balance: 3014733.547940
Account #1093278990669429 balance: 1045443.791080
Account #8255171551994747 balance: 3295960.241850
Account #6847226299857821 balance: 328043.236080
Account #4659001911688512 balance: 572650.874740
Account #7966380955913694 balance: 3009227.427940
Account #8028716243309826 balance: 1536530.416300
Account #4659001911688512 balance: 575988.154740
Account #8255171551994747 balance: 3301906.821850
Account #8028716243309826 balance: 1539553.386300
Account #1093278990669429 balance: 1034632.051080
Account #8255171551994747 balance: 3300547.881850
Account #1093278990669429 balance: 1035303.941080
Account #8028716243309826 balance: 1539856.016300
Account #9980216556183046 balance: 2231647.214380
Account #7966380955913694 balance: 3008303.467940
Account #8028716243309826 balance: 1540414.446300
Account #9980216556183046 balance: 2231623.274380
Account #2076962079974167 balance: 4228208.133600
Account #2076962079974167 balance: 4226753.663600
Account #7966380955913694 balance: 3008401.417940
Account #8028716243309826 balance: 1541584.236300
Account #1093278990669429 balance: 1032779.001080
Account #0793710490620664 balance: 4652183.382280
Account #6847226299857821 balance: 335884.916080
Account #6847226299857821 balance: 335884.916080
Account #6847226299857821 balance: 338134.956080
Account #4659001911688512 balance: 585567.324740
Account #8028716243309826 balance: 1543257.736300
Account #2076962079974167 balance: 4234802.643600
Account #2076962079974167 balance: 4235284.593600
Account #9980216556183046 balance: 2240062.184380
Account #2076962079974167 balance: 4233266.383600
Account #2076962079974167 balance: 4234256.653600
Account #8028716243309826 balance: 1543678.676300
Account #2076962079974167 balance: 4232741.753600
Account #3491588839892013 balance: 4009279.348100
Account #8028716243309826 balance: 1549028.996300
Account #9980216556183046 balance: 2243468.754380
Account #4659001911688512 balance: 591560.654740
Account #4659001911688512 balance: 588395.314740
Account #2076962079974167 balance: 4233289.473600
Account #9980216556183046 balance: 2238005.004380
Account #0793710490620664 balance: 4650870.832280
Account #8255171551994747 balance: 3299846.801850
Account #9980216556183046 balance: 2239629.324380
Account #4659001911688512 balance: 592108.054740
Account #6847226299857821 balance: 343246.396080
Account #1093278990669429 balance: 1048098.391080
Account #4659001911688512 balance: 591449.734740
Account #1093278990669429 balance: 1047613.891080
Account #4659001911688512 balance: 592069.494740
Account #9980216556183046 balance: 2238026.914380
Account #0793710490620664 balance: 4647227.232280
Account #4659001911688512 balance: 591158.884740
Account #4659001911688512 balance: 591158.884740
Account #8255171551994747 balance: 3297203.901850
Account #0793710490620664 balance: 4647227.232280
Account #8028716243309826 balance: 1550789.826300
Account #8028716243309826 balance: 1550789.826300
Account #1093278990669429 balance: 1046092.731080
Account #0793710490620664 balance: 4647137.222280
Account #1093278990669429 balance: 1048163.901080
Account #3491588839892013 balance: 4008855.228100
Account #6847226299857821 balance: 355552.896080
Account #9980216556183046 balance: 2234160.644380
Account #8028716243309826 balance: 1554267.026300
Account #3491588839892013 balance: 4006559.998100
Account #6847226299857821 balance: 356140.906080
Account #1093278990669429 balance: 1043600.601080
Account #9980216556183046 balance: 2238027.834380
Account #9980216556183046 balance: 2238027.834380
Account #8028716243309826 balance: 1553086.896300
Account #3491588839892013 balance: 4006694.048100
Account #4659001911688512 balance: 600319.224740
Account #1093278990669429 balance: 1040146.201080
Account #6847226299857821 balance: 361908.176080
Account #8028716243309826 balance: 1551804.816300
Account #7966380955913694 balance: 2985408.927940
Account #3491588839892013 balance: 4001875.618100
Account #6847226299857821 balance: 361908.176080
Account #9980216556183046 balance: 2249227.514380
Account #9980216556183046 balance: 2248402.854380
Account #0793710490620664 balance: 4630930.702280
Account #4659001911688512 balance: 608642.564740
Account #9980216556183046 balance: 2241288.964380
Account #8028716243309826 balance: 1547408.246300
Account #7966380955913694 balance: 2989243.437940
Account #6847226299857821 balance: 362552.636080
Account #6847226299857821 balance: 362535.396080
Account #8255171551994747 balance: 3302678.891850
Account #6847226299857821 balance: 363188.816080
Account #9980216556183046 balance: 2232600.104380
Account #4659001911688512 balance: 612650.234740
Account #3491588839892013 balance: 3992114.508100
Account #8255171551994747 balance: 3300085.761850
Account #2076962079974167 balance: 4222268.233600
Account #8028716243309826 balance: 1546722.746300
Account #4659001911688512 balance: 614664.614740
Account #8255171551994747 balance: 3301016.671850
Account #8255171551994747 balance: 3300778.331850
Account #8028716243309826 balance: 1546305.226300
Account #3491588839892013 balance: 3990451.198100
Account #8255171551994747 balance: 3300778.331850
Account #8255171551994747 balance: 3298177.511850
Account #8028716243309826 balance: 1546305.226300
Account #4659001911688512 balance: 614722.814740
Account #0793710490620664 balance: 4635238.592280
Account #6847226299857821 balance: 374745.666080
Account #0793710490620664 balance: 4632031.442280
Account #4659001911688512 balance: 617664.794740
Account #4659001911688512 balance: 617203.154740
Account #2076962079974167 balance: 4229364.673600
Account #9980216556183046 balance: 2246728.274380
Account #2076962079974167 balance: 4229364.673600
Account #1093278990669429 balance: 1046194.511080
Account #4659001911688512 balance: 620560.024740
Account #6847226299857821 balance: 375332.436080
Account #8255171551994747 balance: 3296331.721850
Account #8028716243309826 balance: 1548509.306300
Account #3491588839892013 balance: 3984283.968100
Account #3491588839892013 balance: 3984283.968100
Account #8028716243309826 balance: 1547167.776300
Account #0793710490620664 balance: 4628662.662280
Account #8255171551994747 balance: 3292450.291850
Account #3491588839892013 balance: 3990480.588100
Account #9980216556183046 balance: 2241666.614380
Account #8255171551994747 balance: 3289101.071850
Account #3491588839892013 balance: 3993374.488100
Account #2076962079974167 balance: 4228033.993600
Account #0793710490620664 balance: 4624754.952280
Account #8255171551994747 balance: 3287374.581850
Account #0793710490620664 balance: 4623071.322280
Account #0793710490620664 balance: 4624479.242280
Account #3491588839892013 balance: 3994214.178100
Account #1093278990669429 balance: 1047176.001080
Account #3491588839892013 balance: 3990581.978100
Account #1093278990669429 balance: 1047056.351080
Account #4659001911688512 balance: 615769.854740
Account #0793710490620664 balance: 4627546.582280
Account #8255171551994747 balance: 3288661.701850
Account #0793710490620664 balance: 4628630.412280
Account #1093278990669429 balance: 1047419.711080
Account #4659001911688512 balance: 615579.574740
Account #1093278990669429 balance: 1045064.751080
Account #2076962079974167 balance: 4235229.533600
Account #7966380955913694 balance: 2975296.367940
Account #1093278990669429 balance: 1046520.981080
Account #6847226299857821 balance: 386046.116080
Account #1093278990669429 balance: 1048750.401080
Account #6847226299857821 balance: 385672.026080
Account #2076962079974167 balance: 4233497.733600
Account #9980216556183046 balance: 2238843.834380
Account #1093278990669429 balance: 1043875.081080
Account #7966380955913694 balance: 2976586.297940
Account #8255171551994747 balance: 3286050.781850
Account #9980216556183046 balance: 2235777.814380
Account #9980216556183046 balance: 2234734.864380
Account #4659001911688512 balance: 616897.634740
Account #4659001911688512 balance: 618950.404740
Account #2076962079974167 balance: 4217499.913600
Account #0793710490620664 balance: 4625771.562280
Account #2076962079974167 balance: 4218394.783600
Account #6847226299857821 balance: 390922.336080
Account #8255171551994747 balance: 3289502.881850
Account #9980216556183046 balance: 2237911.174380
Account #8028716243309826 balance: 1541632.756300
Account #7966380955913694 balance: 2975009.817940
Account #0793710490620664 balance: 4626280.832280
Account #0793710490620664 balance: 4626280.832280
Account #8028716243309826 balance: 1541632.756300
Account #2076962079974167 balance: 4215159.383600
Account #8255171551994747 balance: 3289619.061850
Account #6847226299857821 balance: 389637.726080
Account #0793710490620664 balance: 4625965.282280
Account #8255171551994747 balance: 3289050.871850
Account #3491588839892013 balance: 3994521.898100
